Nom du produit,Marque,Type CPU,Implémentation CPU,Référence,Stockage,RAM,Taille écran,Prix,Site web,Catégorie
Acer Nitro 16 AN16-42-R1PZ - Ordinateur portable de Gaming - 16 pouces - 165 Hz,Acer,AMD Ryzen 9,8945HS,NH.QPLEH.00A,1000 GB,16 GB,16 Inch,1469,bol.com,ORDINATEUR
"MEDION AKOYA E15423, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 512 Go, Windows 11 Home",MEDION,Intel Core i5,i5-1155G7,30035763,512 GB,8 GB,15.6 Inch,399,bol.com,ORDINATEUR
"HP ZBook Fury 15 G7 - Ordinateur portable station de travail - Core i7-10850H - 32 GB de RAM, 1 To SSD - Nvidia Quadro RTX 3000 - Windows 10 Pro",HP,Intel Core i7,i7-10850H,119X5EA#ABH,1000 GB,32 GB,15.6 Inch,1099,bol.com,ORDINATEUR
"Lenovo V V15, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go, Windows 11 Pro",Lenovo,Intel Core i5,i5-13420H,V15 G4,512 GB,16 GB,15.6 Inch,569,bol.com,ORDINATEUR
Lenovo LOQ 15IAX9 - 83GS009TMH - Gaming - Geforce RTX 3050 - 144 Hz - Intel Core i5-12450HX - 16 Go,Lenovo,Intel Core i5,i5-12450HX,83GS009TMH,512 GB,16 GB,15.6 Inch,729,bol.com,ORDINATEUR
"AMD Ryzen AI 9 AI 9 HX 370 (36Mo Cache, 2GHz), 32Go LPDDR5x-SDRAM, 1000Go SSD, 40.6 cm (16"") 2.5K 2560 x 1600 IPS, AMD Radeon 890M, NVIDIA GeForce RTX 4070 (8Go GDDR6), WLAN, Webcam, Windows 11 Home 64-bit",ASUS,,HX 370,90NR0J93-M00290,1000 GB,32 GB,16 Inch,2599,bol.com,ORDINATEUR
"MSI Thin 15 B12UC-1253NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,Intel Core i7,12650H,THIN 15 B12UC-1253NL,512 GB,16 GB,15.6 Inch,889,bol.com,ORDINATEUR
"Ordinateur portable professionnel Dell Latitude 3540 15,6' i5-1345U 8 Go de RAM 256 Go Dysk SSD Win11 Pro",Dell,Intel Core i5,1235U,Latitude 3540,256 GB,8 GB,15.6 Inch,539,bol.com,ORDINATEUR
"ASUS TUF A15 FA507UI-LP034W - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",ASUS,AMD Ryzen 9,8945HS,90NR0I65-M00570,1000 GB,16 GB,15.6 Inch,1499,bol.com,ORDINATEUR
"Acer Nitro 5 AN515-58-52WU - Ordinateur portable - 15,6"" IPS 1920 x 1080 (Full HD) - Intel Core i5 12500H - Win 11 Home - GeForce RTX 4060 - 16 GB DDR5 - 512 GB SSD - Wi-Fi 6 - Qwerty - noir",Acer,Intel Core i5,12500H,NH.QM0EH.00H,512 GB,16 GB,15.6 Inch,888,bol.com,ORDINATEUR
Acer Nitro V 16 ANV16-41-R3MX - Ordinateur portable de Gaming - 16 pouces - 165Hz,Acer,AMD Ryzen 7,8845HS,NH.QP0EH.00G,1000 GB,16 GB,16 Inch,1154,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15ABR8 82XM00GMMH - Ordinateur portable - 15,6 pouces",Lenovo,AMD Ryzen 5,7430U,82XM00GMMH,512 GB,8 GB,15.6 Inch,539,bol.com,ORDINATEUR
"Acer Chromebook 315 CB315-5H-C97W - Chromebook - 15,6 pouces",Acer,,N100,NX.KPPEH.007,128 GB,8 GB,15.6 Inch,379,bol.com,ORDINATEUR
Lenovo IdeaPad Flex 5 Chromebook 14IAU7 82T5003YMH - 14 pouces - 2-en-1,Lenovo,Intel Core i3,1215U,82T5003YMH,128 GB,8 GB,14 Inch,547,bol.com,ORDINATEUR
"HP 15-fd0017nd, Intel® N, 39,6 cm (15.6""), 1920 x 1080 pixels, 4 Go, 128 Go, Windows 11 Home en mode S",HP,,N100,A12MBEA#ABH,128 GB,4 GB,15.6 Inch,361,bol.com,ORDINATEUR
Acer Nitro V 16 ANV16-41-R816 - Ordinateur portable de Gaming - 16 pouces - 165 Hz,Acer,AMD Ryzen 5,8645HS,NH.QP1EH.006,512 GB,16 GB,16 Inch,1099,bol.com,ORDINATEUR
"Apple MacBook Pro 2024 14,2'' - M4 Pro, processeur 12 Core , GPU 16 Core , 24 Go de RAM, SSD 512 Go, Qwerty, Zwart",Apple,Apple M4 Pro,M4 Pro 12 core,MX2H3N/A,512 GB,24 GB,14.2 Inch,2384,bol.com,ORDINATEUR
"MSI Modern 15 F13MG-017NL Intel® Core™ i7 i7-1355U Ordinateur portable 39,6 cm (15.6"") Full HD 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Argent",MSI,Intel Core i7,i7-1355U,MODERN 15 F13MG-017NL,512 GB,16 GB,15.6 Inch,639,bol.com,ORDINATEUR
Ordinateur portable de Gaming MSI Cyborg 14 A13VE-016NL,MSI,Intel Core i7,i7-13620H,CYBORG 14 A13VE-016NL,512 GB,16 GB,14 Inch,1099,bol.com,ORDINATEUR
"Ordinateur portable Asus X1704VA 17,3"" FullHD - Intel Core i5-1335U - 16 Go RAM - SSD 1,0 To - Windows 11 Pro",ASUS,Intel Core i5,1335U,X1704VA-AU157,1000 GB,16 GB,17.3 Inch,699,bol.com,ORDINATEUR
"AMD Ryzen 7 7735HS (3,2 GHz, 16 Mo L3), 39,6 (15,6"") FHD IPS 144 Hz (1 920 x 1 080), 32 Go de SDRAM DDR5, SSD PCIe NVMe de 1 To, NVIDIA GeForce RTX 4060 (8 Go GDDR6), Wi-Fi 6 AX ( 2x2) + BT, Windows 11 Home, Rétroéclairé US Int",Acer,AMD Ryzen 7,7735HS,NH.QPDEH.00B,1000 GB,32 GB,15.6 Inch,1105,bol.com,ORDINATEUR
"Intel Core i5-1235U (1,3 GHz, 12 Mo L3), 43,9 cm (17,3"") HD+ ComfyView (1 600 × 900 ), 8 Go de SDRAM DDR4, SSD PCIe NVMe de 512 Go, Graphiques Intel Iris Xe, Wi-Fi 6 AX (1x1), Windows 11 Home, États-Unis Int",Acer,Intel Core i5,i5-1235U,NX.K9YEH.01D,512 GB,8 GB,17.3 Inch,529,bol.com,ORDINATEUR
"Acer Extensa 15 EX215-55-58EM, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go, Windows 11 Home",Acer,Intel Core i5,i5-1235U,EX215-55,512 GB,16 GB,15.6 Inch,492,bol.com,ORDINATEUR
"MSI Modern 15 H C13M-203NL - Ordinateur portable - 15,6 - 60 Hz",MSI,Intel Core i9,13900H,9S7-15H431-203,1000 GB,16 GB,15.6 Inch,889,bol.com,ORDINATEUR
"Lenovo Thinkbook 16 G7 IML 16'' FHD+ WUXGA 300 Nits IR Cam Intel Ultra Core 5-125U 16 Go DDR5, 512 Go SSD W11P - TB rétroéclairé - Lecteur d'empreintes digitales - Garantie 3 ans",Lenovo,,Intel® Core™ Ultra 5 125U,21MS005MRM,512 GB,16 GB,16 Inch,739,bol.com,ORDINATEUR
HP 17-cn3139nd - B87Z0EA#ABH - AZERTY,HP,Intel Core i3,i3-N305,B87Z0EA#ABH,512 GB,8 GB,17.3 Inch,519,bol.com,ORDINATEUR
Lenovo IdeaPad Flex 5 16ABR8 82XY007VMH - Ordinateur portable 2-en-1 - 16 pouces,Lenovo,AMD Ryzen 5,7430U,82XY007VMH,512 GB,16 GB,16 Inch,733,bol.com,ORDINATEUR
"MacBook Pro, 14.2"" Liquid Retina XDR, 3024x1964, 8-core Apple M1 Pro chip, 512GB SSD, 16GB unified memory, 14-core GPU, 3 x Thunderbolt 4, HDMI, 802.11ax, Bluetooth 5.0, Force Touch, macOS",Apple,Apple M1 Pro,Apple M1 Pro 8-core,MKGP3N/A,512 GB,16 GB,14 Inch,1499,bol.com,ORDINATEUR
ASUS Vivobook 16 Flip TP3607SA-RJ022W - Ordinateur portable 2-en-1 - 16 pouces,ASUS,,258V,90NB1511-M003L0,1000 GB,32 GB,16 Inch,1449,bol.com,ORDINATEUR
"Acer Aspire 5 17 A517-58GM-740W - Ordinateur portable Creator - 17,3 pouces",Acer,Intel Core i7,1355U,NX.KJLEH.00D,2000 GB,16 GB,17.3 Inch,1149,bol.com,ORDINATEUR
"Lenovo IdeaPad Gaming 3 - 15,6"" F- HD - i5 11320H - 16 Go - 512 Go - W11P",Lenovo,Intel Core i5,11320H,82K101F1PB,512 GB,16 GB,15.6 Inch,695,bol.com,ORDINATEUR
Lenovo IdeaPad Flex 5 14IAU7 | Intel Core i3-1215U | 8Go | 256GB SSD | Écran tactile 14 WUXGA 2-en-1 | Clavier éclairé | Lecteur d'empreintes digitales | Win 11 Home | QWERTY,Lenovo,Intel Core i3,i3-1215U,82R700L4US,256 GB,8 GB,14 Inch,479,bol.com,ORDINATEUR
"ASUS VivoBook M1502YA - 15,6 pouces FHD IPS - Ryzen 7 7730U - Mémoire 16 GB - SSD M.2 512 GB - Clavier lumineux - Windows 11 Pro",ASUS,AMD Ryzen 7,7730U,90NB0X22-M00680,512 GB,16 GB,15.6 Inch,555,bol.com,ORDINATEUR
"Intel Core Ultra 7 155H (24 Mo de cache), 16 Go DDR5-SDRAM, 1 000 Go SSD, 35,6 cm (14"") 2,8K 2 880 x 1 800, Intel Arc Graphiques, NVIDIA GeForce RTX 4060 (8 Go GDDR6), WLAN, Webcam, Windows 11 Pro",MSI,,155H,STEALTH 14 AI STUDIO A1VFG-014NL,1000 GB,16 GB,14 Inch,1549,bol.com,ORDINATEUR
"MSI Thin A15 B7VE-002NL - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",MSI,AMD Ryzen 7,7735HS,THIN A15 B7VE-002NL,512 GB,16 GB,15.6 Inch,959,bol.com,ORDINATEUR
HP Probook 440 G10 - ordinateur portable professionnel - 14 FHD - i5-1335U - 16Go - 512Go - W11P - Éclairage clavier - Garantie 5 ans,HP,Intel Core i5,i5-1335U,859Z0EA#ABB,512 GB,16 GB,14 Inch,721,bol.com,ORDINATEUR
"Intel Core i9-14900HX (2,2 GHz), 32 Go DDR5-SDRAM, 2 000 Go SSD, 45,7 cm (18"") UHD+ 3 840 x 2 400 Mini LED, NVIDIA GeForce RTX 4080 (12 Go GDDR6), WLAN, Webcam, Windows 11 Pro",MSI,Intel Core i9,i9-14900HX,9S7-182221-047,2000 GB,32 GB,18 Inch,3299,bol.com,ORDINATEUR
HP ElitBook 845 - 14 pouces - RYZEN 5 PRO - 16 Go RAM - 256 Go,HP,AMD Ryzen 5,4650U,2E1J9UC,256 GB,16 GB,14 Inch,449,bol.com,ORDINATEUR
"Lenovo LOQ 15IRX9 83DV00PBMH - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",Lenovo,Intel Core i7,13650HX,83DV00PBMH,512 GB,24 GB,15.6 Inch,1099,bol.com,ORDINATEUR
Lenovo IdeaPad 5 16AHP9 83DS0042MH - Ordinateur portable 2-en-1 - 16 pouces,Lenovo,AMD Ryzen 7,8845HS,83DS0042MH,1000 GB,16 GB,16 Inch,863,bol.com,ORDINATEUR
"Acer Chromebook 315 (CB315-4H-C3SW) Ordinateur portable 15,6 pouces Argent N4500 Celeron 4 Go de RAM 128 Go de RAM",Acer,Intel Celeron,N4500,N21Q9,128 GB,4 GB,15.6 Inch,298,bol.com,ORDINATEUR
Acer Nitro V ANV15-51-9637 - QWERTY,Acer,Intel Core i9,i9-13900H,NH.QQEEH.00J,512 GB,16 GB,15.6 Inch,1135,bol.com,ORDINATEUR
"ASUS VivoBook 17 X1704ZA-AU044W, Intel® Core™ i5, 1,3 GHz, 43,9 cm (17.3""), 1920 x 1080 pixels, 8 Go, 512 Go",ASUS,Intel Core i5,i5-1235U,90NB10F2-M001H0,512 GB,8 GB,17.3 Inch,609,bol.com,ORDINATEUR
"Dynabook Satellite Pro C40-G-109, Intel® Celeron®, 1,9 GHz, 35,6 cm (14""), 1366 x 768 pixels, 4 Go, 128 Go",Dynabook,Intel Celeron,5205U,A1PYS26E111T,128 GB,4 GB,14 Inch,259,bol.com,ORDINATEUR
"HP 470 G10 - ordinateur portable professionnel - 17,3 FHD - i7-1355U - 16 Go - 512 Go - W11P - éclairage du clavier",HP,Intel Core i7,i7-1355U,9G1F5ET#ABB,512 GB,16 GB,17.3 Inch,909,bol.com,ORDINATEUR
"HP 250 G10 Business - 15,6″ FHD IPS AG - i5-1335U - 16 GB de RAM - 512 Go SSD M.2 NVMe - Windows 11 Pro",HP,Intel Core i5,1334U,85C48EA,512 GB,16 GB,15.6 Inch,599,bol.com,ORDINATEUR
"Ordinateur portable 17-cn4099nd, Windows 11 Home, 17,3"", Intel Core™ 7, 16 Go de RAM, SSD 1 To, FHD, argent naturel",HP,Intel Core i7,150U,A12MSEA#ABH,1000 GB,16 GB,17.3 Inch,949,bol.com,ORDINATEUR
Acer Aspire 7 Pro A715-76G-51CU,Acer,Intel Core i5,i5-12450H,A715-76G,512 GB,16 GB,15.6 Inch,639,bol.com,ORDINATEUR
"Intel Core i7-13700H (24MB Cache), 16GB DDR5-SDRAM, 512GB SSD, 35.6 cm (14"") WUXGA 1920 x 1200 IPS, Intel Iris Xe Graphics, LAN, WLAN, Webcam, Windows 11 Pro",Lenovo,Intel Core i7,13700H,ThinkBook 14 G6,512 GB,16 GB,14 Inch,999,bol.com,ORDINATEUR
Razer Blade 16 - RZ09-0510TEN3-R3E1 - Ordinateur portable de Gaming - 16 pouces - 240 Hz,Razer,Intel Core i9,14900HX,RZ09-0510TEN3-R3E1,1000 GB,32 GB,16 Inch,3769,bol.com,ORDINATEUR
"Acer Aspire 3 A314-23P-R8ZL, AMD Ryzen™ 3, 2,4 GHz, 43,9 cm (17.3""), 1920 x 1080 pixels, 8 Go, 512 Go",Acer,AMD Ryzen 3,7320U,NX.KDDEH.00G,512 GB,8 GB,14 Inch,399,bol.com,ORDINATEUR
Lenovo IdeaPad Flex 5 14IAU7 82R700N0MH - Ordinateur portable 2-en-1 - 14 pouces,Lenovo,Intel Core i5,i5-1235U,82R700N0MH,512 GB,16 GB,14 Inch,669,bol.com,ORDINATEUR
"Ordinateur portable HP Elitebook 840 G8 Écran PC 14"", Intel® Core™ i5 11e génération 16 Go + 512 Go",HP,Intel Core i5,1145G7,6A3P1AV,256 GB,16 GB,14 Inch,595,bol.com,ORDINATEUR
"ASUS VivoBook 17 X1704ZA-AU053W, Intel® Core™ i7, 1,7 GHz, 43,9 cm (17.3""), 1920 x 1080 pixels, 16 Go, 512 Go",ASUS,Intel Core i7,i7-1255U,90NB10F2-M001W0,512 GB,16 GB,17.3 Inch,834,bol.com,ORDINATEUR
"Ordinateur portable MEDION E15223 39,6 cm (15,6 Zoll) Full HD (Intel N100, SSD PCIe 128 Go, Intel UHD, RAM DDR5 4 Go, WLAN, Win 11 Home S- Modus)",MEDION,Intel Core i5,Intel® Prozessor,MD62644,1000 GB,4 GB,15.6 Inch,249,bol.com,ORDINATEUR
"Ordinateur portable HP 15-dy5885wm Intel® Core™ i5 i5-1235U 39,6 cm (15.6"") Full HD 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 11 Home Blauw",HP,Intel Core i5,i5-1235U,A14MMUA,256 GB,8 GB,15.6 Inch,449,bol.com,ORDINATEUR
"MSI Modern 15 F13MG-023NL ordinateur portable Intel Core™ i3 i3-1315U 39,6 cm (15.6"") Full HD 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Argent",MSI,Intel Core i3,i3-1315U,MODERN 15 F13MG-023NL,512 GB,8 GB,15.6 Inch,439,bol.com,ORDINATEUR
"Acer Nitro V 15 ANV15-51-7647, Intel® Core™ i7, 2,4 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",Acer,Intel Core i7,13620H,NH.QNBEH.009,512 GB,16 GB,15.6 Inch,899,bol.com,ORDINATEUR
"13.6"" Retina, IPS, 2560 x 1664px, Apple M3 (8-core CPU, 8-core GPU, 16-core Neural Engine), 8GB, 256GB SSD, 2x Thunderbolt/USB 4, 802.11ax Wi-Fi 6E, Bluetooth 5.3, macOS",Apple,Apple M3,M3,MRXT3N/A,256 GB,8 GB,13.6 Inch,1208,bol.com,ORDINATEUR
HP ProBook 440 G11 - ordinateur portable professionnel - 14FHD - Ultra 5-125U - 16 Go - 512 Go - éclairage du clavier - W11P - 3 ans de garantie sur site,HP,,125U,A37RZET#ABB,512 GB,16 GB,14 Inch,879,bol.com,ORDINATEUR
"DELL Latitude 3540, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 512 Go, Windows 11 Pro",Dell,Intel Core i5,i5-1235U,Latitude 3540,512 GB,8 GB,15.6 Inch,599,bol.com,ORDINATEUR
HP EBx360830G8 i5-1135G7 13 8GB/256 LTEA PC Intel i5-1135G7- 13.3 FHD AG LED UWVA TS- UMA- Webcam- 8GB DDR4- 256GB SSD-ax+ BT- LTEA- 3C Batt- FPS- W10 Pro64- 3y,HP,Intel Core i5,i5-1135G7,358Q6EA#ABH,256 GB,8 GB,13.3 Inch,525,bol.com,ORDINATEUR
Lenovo IdeaPad 1 14ALC7 | 82R3006WMH,Lenovo,AMD Ryzen 7,R7-5700U,82R3006WMH,512 GB,16 GB,14 Inch,501,bol.com,ORDINATEUR
"DELL XPS 13 9310, Intel® Core™ i7, 34 cm (13.4""), 3840 x 2400 pixels, 32 Go, 1 To, Windows 10 Pro",Dell,Intel Core i7,i7-1165G7,8D5RH,1000 GB,32 GB,13.4 Inch,1585,bol.com,ORDINATEUR
"Lenovo IdeaPad Duet 3 Chrome 11Q727, Qualcomm Snapdragon, 2,55 GHz, 27,8 cm (10.9""), 2000 x 1200 pixels, 8 Go, 128 Go",Lenovo,Qualcomm Snapdragon,7c Gen 2,82T6003FMH,128 GB,8 GB,10.95 Inch,416,bol.com,ORDINATEUR
"Lenovo Yoga Pro 7 14AHP9 83E30039MH - Ordinateur portable Creator - 14,5 pouces",Lenovo,AMD Ryzen 7,8845HS,83E30039MH,1000 GB,16 GB,14.5 Inch,1249,bol.com,ORDINATEUR
"Microsoft Surface Laptop 4, AMD Ryzen™ 5, 2,1 GHz, 34,3 cm (13.5""), 2256 x 1504 pixels, 8 Go, 256 Go",Microsoft,AMD Ryzen 5,4680U,Surface Laptop 4,256 GB,8 GB,13.5 Inch,649,bol.com,ORDINATEUR
"Apple MacBook Pro 2024 16,2'' - M4 Pro, processeur 14 Core , GPU 20 Core , 24 Go de RAM, SSD 512 Go, Qwerty, Zwart",Apple,Apple M4 Pro,M4 pro 14 core,MX2X3N/A,512 GB,24 GB,16.2 Inch,2859,bol.com,ORDINATEUR
"Acer Aspire 3 Spin 14 A3SP14-31PT-C6NT, Intel® N, 35,6 cm (14""), 1920 x 1200 pixels, 4 Go, 128 Go, Windows 11 Home in S mode",Acer,Intel Core M,N100,NX.KENEH.001,128 GB,4 GB,14 Inch,379,bol.com,ORDINATEUR
"Ordinateur portable Ultra fin 15,6"" - 16 Go de RAM 2 To SSD - Ordinateur portable Intel N3700 - Gamer - Écran 1920*1080 - PC Windows 11 Pro - Argent - 35,8 x 1,8 x 24,5",Sans marque,Intel Pentium,N3700,Deze informatie volgt nog.,128 GB,16 GB,15.6 Inch,224,bol.com,ORDINATEUR
"ASUS Vivobook Go 15 E1504FA-NJ1278W - Ordinateur portable - 15,6"" Full HD - AMD Ryzen 5 7520U - AMD Radeon 610M - 16 Go DDR5 - 512 GB SSD - Wi-Fi 6E - Windows 11 Home - tsb QWERTY Néerlandais - Zwart",ASUS,AMD Ryzen 5,7520U,90NB0ZR2-M02820,512 GB,16 GB,15.6 Inch,469,bol.com,ORDINATEUR
ASUS TUF A16 FA607PI-QT092W - Ordinateur portable de Gaming - 16 pouces - 165 Hz,ASUS,AMD Ryzen 9,7940HX,90NR0IV4-M004K0,2000 GB,32 GB,16 Inch,1699,bol.com,ORDINATEUR
"Ordinateur portable HP Pavilion 15-eh3170nd AMD Ryzen™ 7 7730U 39,6 cm (15.6"") Full HD 16 GB DDR4-SDRAM 1 To SSD Wi-Fi 6 (802.11ax) Windows 11 Home Argent",HP,AMD Ryzen 7,7730U,B32BNEA#ABH,1000 GB,16 GB,15.6 Inch,679,bol.com,ORDINATEUR
"HP Pavilion Aero 13-be2013nc AMD Ryzen™ 7 7735U Ordinateur portable 33,8 cm (13.3"") WUXGA 16 GB LPDDR5-SDRAM 1 To SSD Wi-Fi 6E (802.11ax) Windows 11 Home Argent",HP,AMD Ryzen 7,7735U,AS1J6EA,1000 GB,16 GB,13.3 Inch,640,bol.com,ORDINATEUR
"13.6"" Retina, IPS, 2560 x 1664px, Apple M3 (8-core CPU, 10-core GPU, 16-core Neural Engine), 8GB, 512GB SSD, 2x Thunderbolt/USB 4, 802.11ax Wi-Fi 6E, Bluetooth 5.3, macOS",Apple,Apple M3,M3,MRXW3N/A,512 GB,8 GB,13.6 Inch,1399,bol.com,ORDINATEUR
"Acer Aspire 5 17 A517-58GM-799W - Ordinateur portable Creator - 17,3 pouces",Acer,Intel Core i7,1355U,NX.KJLEH.00E,2000 GB,32 GB,17.3 Inch,1149,bol.com,ORDINATEUR
"HP ProBook 450 G10 - i5-1335U - 16 Go - 512 Go SSD - 15,6"" FHD - W10P - 3 ans Gar. -Verl. Clé. NL",HP,Intel Core i5,1335,817S9EA,512 GB,16 GB,15.6 Inch,781,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15IAN8 15"" FHD, I5-12450H, 16 Go, 512 Go, W11",Lenovo,Intel Core i5,12450H,83ER008PMH,512 GB,16 GB,15.6 Inch,549,bol.com,ORDINATEUR
Acer Predator Helios 18 PH18-72-98BX,Acer,Intel Core i9,i9-14900HX,NH.QSTEH.004,1000 GB,64 GB,18 Inch,4299,bol.com,ORDINATEUR
"Intel Core Ultra 7 155H (1,4 GHz), 16 Go DDR5-SDRAM, 512 Go SSD, 39,6 cm (15,6"") Full HD 1920 x 1080, Intel Arc Graphiques, NVIDIA GeForce RTX 4050 (6 Go GDDR6), LAN, WLAN, Webcam, Windows 11 Home",MSI,,155H,9S7-15K211-019,512 GB,16 GB,15.6 Inch,999,bol.com,ORDINATEUR
"Lenovo V15 G3 - 15,6 pouces - Intel i5 - 8 Go - 512 Go - Windows 11 Home",Lenovo,Intel Core i5,i5-1235U,83C40005PB,512 GB,8 GB,15.6 Inch,439,bol.com,ORDINATEUR
"ASUS ROG Strix SCAR 16 G634JZ-NM032W, Intel® Core™ i9, 40,6 cm (16""), 2560 x 1600 pixels, 32 Go, 1 To, Windows 11 Home",ASUS,Intel Core i9,i9-13980HX,90NR0C81-M00590,1000 GB,32 GB,16 Inch,2702,bol.com,ORDINATEUR
"Acer Aspire 5 A515-57-79HT, Intel® Core™ i7, 2,3 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 32 Go, 512 Go",Acer,Intel Core i7,i7-12650H,NX.KN4EH.00E,512 GB,32 GB,15.6 Inch,849,bol.com,ORDINATEUR
"ASUS VivoBook Go - 15,6 pouces - Ryzen 5 - 8 Go RAM - 512 Go SSD - W11 Pro",ASUS,AMD Ryzen 5,7520U,E1504FA-BQ050,512 GB,8 GB,15.6 Inch,399,bol.com,ORDINATEUR
Lenovo IdeaPad Gaming 3 - 82K202CLMH,Lenovo,AMD Ryzen 5,5500H,82K202CLMH,512 GB,16 GB,15.6 Inch,829,bol.com,ORDINATEUR
HP 17.3 F- HD IPS AMD Ryzen 7 7730U 16 Go 512 Go W11H,HP,AMD Ryzen 7,7730U,81D60EA#ABH,512 GB,16 GB,17.3 Inch,729,bol.com,ORDINATEUR
MSI Sword 16 HX B13VFKG-469NL - Ordinateur portable de Gaming - 17 pouces - 144 Hz,MSI,Intel Core i7,i7-13700HX,9S7-15P214-469,512 GB,16 GB,16 Inch,1199,bol.com,ORDINATEUR
"DELL Latitude 5540, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 256 Go, Windows 11 Pro",Dell,Intel Core i5,i5-1335U,CD3NY,256 GB,16 GB,15.6 Inch,749,bol.com,ORDINATEUR
"Lenovo V15 G4 - 15,6' pouces - Ryzen 5 - 8 Go de RAM - 512 Go - W11 pro",Lenovo,AMD Ryzen 5,7520U,82YU0133PB,512 GB,8 GB,15.6 Inch,435,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15IRH8 83EM00BKMH - Ordinateur portable - 15,6 pouces",Lenovo,Intel Core i7,13620H,83EM00BKMH,512 GB,16 GB,15.6 Inch,709,bol.com,ORDINATEUR
"Lenovo IdeaPad 1 15IGL7 (82V700FHRM) 15,6 F- HD / N4020 / 4 Go / 256 Go / W11P",Lenovo,Intel Celeron,N4020,82V700FHRM,256 GB,4 GB,15.6 Inch,285,bol.com,ORDINATEUR
Acer Nitro V 15 ANV15-41-R3EG - Ordinateur portable de Gaming - AMD Ryzen 7 - GeForce RTX 4060,Acer,AMD Ryzen 7,7735HS,ANV15-41-R3EG,1000 GB,16 GB,15.6 Inch,860,bol.com,ORDINATEUR
"Lenovo Legion Slim 7, AMD Ryzen™ 7, 3,8 GHz, 40,6 cm (16""), 3200 x 2000 pixels, 16 Go, 1 To",Lenovo,AMD Ryzen 7,7840HS,82Y4001WMH,1000 GB,16 GB,16 Inch,1399,bol.com,ORDINATEUR
ASUS Vivobook S 14 S5406SA-QD077W - Ordinateur portable - 14 pouces,ASUS,,258V,90NB15R2-M009H0,1000 GB,32 GB,14 Inch,1299,bol.com,ORDINATEUR
ASUS Zenbook 14 OLED UX3405MA-PP278W - Ordinateur portable - 14 pouces,ASUS,,185H,90NB11R1-M00P80,1000 GB,32 GB,14 Inch,1289,bol.com,ORDINATEUR
"16.2"" MacBook Pro, Liquid Retina XDR, 3456 x 2234px, Apple M3 Max 14‑core, 30‑core GPU, 36GB unified memory, 1000GB SSD, SDXC, HDMI, 3 x Thunderbolt 4, Wi-Fi 6E, Bluetooth 5.3, macOS Sonoma",Apple,Apple M3 Max,Apple M3 14-core,MRW33N/A,1000 GB,36 GB,16 Inch,3687,bol.com,ORDINATEUR
"Acer Nitro 17 AN17-42-R27B - Ordinateur portable 17,3"" - 2560x1440 (Quad HD) - AMD Ryzen 7 8845HS - GeForce RTX 4070 - 16 GB DDR5 - 512 GB SSD - Windows 11 Home - tsb QWERTY",Acer,AMD Ryzen 7,8845HS,NH.QP9EH.009,512 GB,16 GB,17.3 Inch,1359,bol.com,ORDINATEUR
HP Omen 16-u1080nd,HP,Intel Core i7,14700HX,9U5U4EA#ABH,2000 GB,32 GB,16 Inch,2547,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 - Ordinateur portable - 15,6 - 16 Go DDR4 - AMD Ryzen 5 7430U 4,3 GHz - AMD Radeon RX Vega 7",Lenovo,AMD Ryzen 5,7430U,82XM00E3MH,512 GB,16 GB,15.6 Inch,486,bol.com,ORDINATEUR
"ASUS X515EA-EJ3288W, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go, Windows 11 Home",ASUS,Intel Core i5,i5-1135G7,90NB0TY1-M04L80,512 GB,16 GB,15.6 Inch,499,bol.com,ORDINATEUR
"HP ProBook 450 G10 - ordinateur portable professionnel - 15,6 FHD - i7-1355U - 16 Go - 512 Go - W11P - 2 ans - éclairage du clavier",HP,Intel Core i7,i7-1355U,7L751ET#ABB,512 GB,16 GB,15.6 Inch,969,bol.com,ORDINATEUR
